clue,explanation,clue_url,explanation_url,clue_created_at,explanation_created_at
Small jerk’s impertinence (4),SASS (“impertinence”) is S (an abbreviation for “small”) plus ASS (“jerk”).,https://twitter.com/stellaphone/status/1544987300714651650,https://twitter.com/stellaphone/status/1545358867466489856,2022-07-07 10:10:51+00:00,2022-07-08 10:47:20+00:00
Some paper from edited theses (6),"When the word THESES is “edited,” or anagrammed, you get SHEETS (“some paper”).",https://twitter.com/stellaphone/status/1544624042740797441,https://twitter.com/stellaphone/status/1545358680559960064,2022-07-06 10:07:24+00:00,2022-07-08 10:46:35+00:00
The reverend said sexual content publicity makes a lively dance (8),"Any time you see “the reverend,” a spoonerism is involved: spoonerize PORN HYPE (“sexual content publicity”) to get HORNPIPE, a “lively dance.”",https://twitter.com/stellaphone/status/1544275757232492545,https://twitter.com/stellaphone/status/1545358496719331330,2022-07-05 11:03:26+00:00,2022-07-08 10:45:51+00:00
"Composer is, to a great extent, America (5)",SOUSA (“composer”) is SO (“to a great extent”) plus USA (“America”).,https://twitter.com/stellaphone/status/1543921308177670146,https://twitter.com/stellaphone/status/1545358229789630465,2022-07-04 11:34:59+00:00,2022-07-08 10:44:48+00:00
"Put Mr. Jackson in control of a trial, often (7)","PLACE (“put”) plus BO (“Mr. Jackson”) gives you PLACEBO (“control of a trial, often”).",https://twitter.com/stellaphone/status/1543551076988764162,https://twitter.com/stellaphone/status/1545358072838868992,2022-07-03 11:03:49+00:00,2022-07-08 10:44:10+00:00
Peeled citrus fruit for a really nice person (5),"“Peel,” or remove the outer letters from, TANGELO to get ANGEL, a “really nice person.”",https://twitter.com/stellaphone/status/1543210616462008320,https://twitter.com/stellaphone/status/1545357852931399680,2022-07-02 12:30:57+00:00,2022-07-08 10:43:18+00:00
"Compare, at first, two articles by district attorney: “True North,” “Strong and Free” (6)","Happy ! CANADA, per its national anthem, is “true North, strong and free,” and is also C (“compare, at first,” or the first letter of COMPARE) plus the indefinite articles AN and A, plus DA (“district attorney”).",https://twitter.com/stellaphone/status/1542850694650085376,https://twitter.com/stellaphone/status/1545357694600712195,2022-07-01 12:40:45+00:00,2022-07-08 10:42:40+00:00
"“Hey, Ken—back off, tramp” (4)","This clue was not a dig at @ckstern! You get HIKE (“tramp”) from HI (“hey”) plus KEN with the “back off”—i.e., remove the last letter.",https://twitter.com/stellaphone/status/1542487507907989504,https://twitter.com/stellaphone/status/1542849076852506624,2022-06-30 12:37:34+00:00,2022-07-01 12:34:19+00:00
Composer consumed by liver disease (5),"VERDI is the “composer” hidden in, or “consumed by,” the phrase “liVER DIsease.”",https://twitter.com/stellaphone/status/1542123890435973121,https://twitter.com/stellaphone/status/1542848729362755589,2022-06-29 12:32:41+00:00,2022-07-01 12:32:56+00:00
Tsunami on broken peaks (9),"When the phrase TSUNAMI ON is “broken,” or anagrammed, you get MOUNTAINS (“peaks”).",https://twitter.com/stellaphone/status/1541760154453934080,https://twitter.com/stellaphone/status/1542848562949550080,2022-06-28 12:27:19+00:00,2022-07-01 12:32:16+00:00
"Oh, look, darling! Beginners just like me (3)","OLD (“just like me”) is made from the “beginners,” or first letters, of each of the first three words in the clue.",https://twitter.com/stellaphone/status/1541393664861011968,https://twitter.com/stellaphone/status/1542848318996238336,2022-06-27 12:11:02+00:00,2022-07-01 12:31:18+00:00
Two guys come together in the city I’m visiting right now (7) 🇨🇦,"At the time I wrote this clue, “the city I’m visiting right now” was CALGARY, which splits into two men’s names, CAL and GARY (“two guys come together”).",https://twitter.com/stellaphone/status/1541034962912047106,https://twitter.com/stellaphone/status/1542848083993579520,2022-06-26 12:25:40+00:00,2022-07-01 12:30:22+00:00
Extreme hotel and places to stay outdoors announced (7),INTENSE (“extreme”) is a homophone (“announced”) of INN TENTS (“hotel and places to stay”).,https://twitter.com/stellaphone/status/1540642970856308738,https://twitter.com/stellaphone/status/1542847785161986048,2022-06-25 10:28:02+00:00,2022-07-01 12:29:11+00:00
Go fishing for percussion instrument? (8),"Happy Canada Day to those who celebrate! And happy  as well: CAST A NET (“go fishing”) gives you CASTANET, a “percussion instrument.” Question mark indicates the not-100%-literal wordplay.",https://twitter.com/stellaphone/status/1540287584106078208,https://twitter.com/stellaphone/status/1542847555851104258,2022-06-24 10:55:51+00:00,2022-07-01 12:28:16+00:00
"Nice, the French device (6)","KINDLE (“device”) is KIND (“nice”) plus LE (“the French,” or “the” in French).",https://twitter.com/stellaphone/status/1539908607487213568,https://twitter.com/stellaphone/status/1540287054340300801,2022-06-23 09:49:56+00:00,2022-06-24 10:53:45+00:00
"In confusion, ask peer for stereo component (7)","Anagram (“in confusion”) ASK PEER to get SPEAKER, a “stereo component.”",https://twitter.com/stellaphone/status/1539553287006978048,https://twitter.com/stellaphone/status/1540286852032233474,2022-06-22 10:18:01+00:00,2022-06-24 10:52:57+00:00
"Foodie is inside, testing our metalware (7)",GOURMET is the “foodie” found “inside” the phrase “testinG OUR METalware.”,https://twitter.com/stellaphone/status/1539190921157390336,https://twitter.com/stellaphone/status/1540286690580905985,2022-06-21 10:18:07+00:00,2022-06-24 10:52:18+00:00
